vorname,anzahl
Aabidur,1
Aaliyah,2
Aarav,2
Aaron,18
Aava,1
Abd-Alrahman,1
Abdeljalil,5
Abdellatef,1
Abderrahim,1
Abderrahman,1
Abdesamad,1
Abdi,1
Abdoullah,1
Abdul,4
Abdulati,1
Abdulazeez,1
Abdulfttah,1
Abduljalil,1
Abdulkader,1
Abdulla,1
Abdullo,1
Abdulmalik,1
Abdulmelik,1
Abdulrahman,1
Abdulraouf,1
Abdulrazzaq,1
Abdurahman,2
Abdurrahman,1
Abir,2
Abisajini,1
Abiya,1
Abraham,1
Abubakr,2
Abulmalik,1
Achilleas,1
Achim,1
Ada,5
Adam,20
Adel,3
Adelaide,1
Adele,1
Adelina,2
Adeline,2
Adelino,1
Adelya,1
Adesua,1
Adin,1
Adnan,2
Adrian,12
Adriana,2
Advait,1
Ad̬le,1
Aemilius,1
Aeneas,1
Aenna,1
Afaq,1
Agathe,1
Aggelos,1
Agnes,1
Ahenkuro,1
Ahmad,7
Ahmed,10
Ahmet,3
Ahsen,1
Ahtika,1
Aida,1
Aila,1
Aileen,1
Aim̩e,1
Aisosa,1
Ajla,1
Ajnur,1
Akbar,1
Akihiro,1
Akil,1
Akilan,1
Akua,1
Al,1
Alabama,1
Alake,1
Alan,2
Alana,1
Aland,2
Alba,3
Albert,10
Albertine,1
Alberto,1
Albijona,1
Albin,1
Albrecht,1
Alea,4
Aleen,1
Alegra,1
Aleina,1
Alek,1
Aleksandar,1
Aleksandra,2
Aleksandrovna,1
Aleksi,1
Alen,2
Alena,5
Aleo,1
Aleph,1
Alessandra,2
Alessandro,5
Alessia,7
Alessio,4
Alex,3
Alexa,4
Alexander,98
Alexandr,1
Alexandra,9
Alexandra-Evelin,1
Alexandros,1
Alexandru,1
Alexia,2
Alexis,2
Alfons,1
Alfonso,1
Alfred,3
Alhilu,1
Ali,22
Alia,2
Alia-Sophie,1
Alica,2
Alice,3
Alicia,4
Alicja,1
Aliki,1
Alina,13
Aline,1
Alisa,3
Alisha,1
Alissa,4
Alisya,2
Alix,1
Aliya,3
Aliyah,2
Aliyan,1
