vorname,anzahl
Aaliyaah,1
Aaliyah,2
Aaliyah-Lamis,1
Aamira,1
Aaron,20
Aatos,1
Aayushi,1
Abbas,1
Abd,2
Abdellatif,1
Abdirizak,1
Abdul,1
Abdullah,4
Abdulmajid,1
Abdulsamed,1
Abel,1
Abid,1
Abonge,1
Aboubacar,1
Abrar,1
Abukar,1
Acelya-Laylina,1
Achraf,1
Ada,4
Ada-Liya,1
Adakole,1
Adam,37
Adama,1
Adan,1
Adar,1
Adea,1
Adediwura,1
Adele,2
Adele-Luisa,1
Adelheid,1
Adelina,2
Adem,1
Adisa,1
Aditi,1
Aditya,1
Adnan,2
Adrian,12
Adrian-Alexander,1
Adriana,2
Adriano,2
Adrien,1
AdÃ¨le,1
Aeneas,2
Afef,1
Agatha,1
Agathe,1
Agiri,1
Agit,1
Agnes,3
Ahmad,3
Ahsen,4
Aicha,1
Aida,1
Aiden,3
Aila,1
Ailin,1
Ainhoa,1
Aisha,3
Aissatou,1
Aitana,1
Ajap,1
Ajar,1
Ajla,2
Akeesan,1
Akif,2
Akil,1
Akirah,1
Akorfa,1
Akram,1
Akramovna,1
Akwar,1
Alaa,1
Alan,3
Alana,2
Alanur,1
Alastair,1
Alaya,1
Alayna,1
Alba,3
Albert,3
Alberta,1
Alberto,1
Albesher,1
Albion,1
Albrecht,1
Alea,6
Alejandro,2
Aleksandar,2
Aleksandra,1
Alen,1
Alena,3
Alessandro,3
Alessia,2
Alessio,2
Alex,4
Alexander,74
Alexandr,1
Alexandra,8
Alexandre,1
Alexandro,1
Alexandru,1
Alexej,1
Alexej-Julian,1
Alexios,2
Alexis,1
Aleyna,1
Alfie,1
Alfons,3
Alfred,4
Ali,25
Ali-Imran,1
Alia,1
AlibekoviÄ,1
Alice,6
Alicia,6
Alihan,1
Alim,1
Alin,1
Alina,14
Alina-Maria,1
Aline,1
Alisa,1
Alisia,2
Alissa,5
Alissia,1
Alisson,1
Alitia,1
Aliya,2
Aliyah,3
Aliza,1
AlizÃ¨ta,1
Aljoscha,1
Alkassem,1
Alla,1
Ally,1
Alma,18
Almin,1
Almir,1
Alois,1
Alouhoun,1
Alparslan,1
Alpaslan,1
Alpay,1
Alrahman,1
Alruna,1
Alsdek,1
Altan,1
Alva,11
Alvar,1
Alvaro,1
Alvin,2
Alvis,1
Alwin,1
Alwine,1
Alya,5
Amadea,1
Amadeus,3
Amaia,1
Amaja,1
Amal,3
Amalia,13
Amalie,2
Amaliya,1
Amanda,4
Amar,3
Amara,5
Amari,2
Amaru,2
Amato,1
Amaya,4
Amelia,7
Amelie,17
Amelina,1
Amen,1
Amila,1
Amilia,5
Amin,6
Amina,8
Aminata,1
Amine,1
Amir,6
Amira,16
Ammar,3
Amna,1
Amon,3
Amos,2
Amra,1
Amrai,1
Amy,2
AmÃ©lia,1
AmÃ©lie,3
An,1
Ana,5
Ana-Maria,2
Anabel,1
Anabella,1
Anaisa,1
Anaiza,1
Anamira,1
Anando,1
Anas,4
Anass,1
Anastasia,5
Anastasia-Maria,1
Anastasios,1
Anatole,1
Anaya,1
Andre,1
Andrea,7
Andreas,6
Andreea,1
Andrei,1
Andrej,1
Andriana,1
Andrias,1
Andrra,1
AndrÃ©,1
Anesa,1
Anestis,1
Angel,2
Angela,2
Angelie,1
Angelija,1
Angelika,5
Angelina,1
Angelle,1
Angelo,2
Angelos,1
Angelova,1
Anh,1
Anik,1
Anika,1
Anil,2
Anis,1
Anisa,2
Anisha,1
Anisia,1
Anissa,1
Anita,2
Anja,2
Anjo,1
Anmol,1
Anna,46
Anna-Luisa,2
Anna-Lysann,1
Anna-Maria,1
Anna-Michelle,1
Anna-Sophia,1
Annabell,2
Annabella,1
Annabelle,4
Annaelle,1
Annalena,2
Annamay,1
Anne,6
Annelie,2
Annemarie,3
Annette,1
Anni,3
Annie,1
Annika,4
Anno,1
Anouk,2
Anouman,1
Ansgar,2
Anthea,1
Anthony,2
Antje,1
Antoine,1
Anton,69
Antoni,3
Antonia,17
Antonia-Mihaela,1
Antonie,1
Antonio,1
Antonio-Serafim,1
Antonius,1
Anwaar,1
Anwar,2
Apolonia,2
Apostolos,1
Appau,1
Aragon,1
Aram,3
Aran,1
Aras,8
Arbil,1
Arda,2
Ardian,1
Ardin,1
Arel,2
Aren,1
Ari,4
Aria,5
Arian,5
Ariana,9
Ariane,1
Arianna,1
Ariel,1
Arifa,1
Ariimoana,1
Arijana,1
Arik,1
Arin,1
Arina,2
Arischa,1
Ariya,1
Ariyan,1
Arjona,2
Arjun,1
Arjuna,2
Arlinda,1
Arlo,1
Armani,1
Armin,3
Armita,1
Arndt,1
Arne,2
Arnel,1
Arno,1
Arnold,4
Arnulf,1
Aron,4
Aron-Samuel,1
Aroussia,1
Arsema,1
Arsenij,1
Artem,1
Arthur,6
Arti,1
Artur,1
Artus,1
ArtÃ¶m,1
Arvid,1
Arya,2
Aryan,4
Asad,1
Asaf,2
Asat,1
Aseel,1
Asel,1
Asem,1
Ashanti,1
Ashley,1
Ashley-Ninell,1
Ashvik,1
Asiya,1
Askhabovna,1
Aslan,2
Asmin,2
Assi,1
Assia,1
Assil,1
Assiya,1
Asta,2
Asterios,1
Astrid,1
Asya,7
Atalanta,1
Atay,1
Athary,1
Athena,1
Athina,2
Athinodoros,1
Atilla,1
Atiya,1
Atta,2
Audai,1
August,3
Augustin,1
Augusto,1
Augustus,1
Aulona,1
Aurea,1
Aurel,3
Aurelia,11
Aurelio,1
Aurelius,3
Aurellia,1
Aureus,1
Auri,1
Aurin,1
Aurora,4
Auryn,1
Ava,15
Avanjeet,1
Avelin,1
Avery,1
Avesta,1
Avi,1
Avika,1
Avleen,1
Avrin,1
Awad,1
Axel,1
Ayaan,1
Ayaansh,1
Ayan,1
Ayat,1
Ayaz,3
Aydina,1
AydÃ©e,1
Ayhan,1
Ayin,1
Ayla,7
Aylin,3
Ayliz-Vahide,1
Ayman,3
Ayooluwa,1
Ayoub,4
Ayun,1
Ayyubi,1
AyÅe,2
Azad,1
Azem,1
Azinwi,1
Aziz,1
Aziz-Han,1
Aziza,1
Azlan,1
Azra,5
AÃ§elya,1
Bahar,1
Bahoz,1
Bailasan,1
Bakary,1
Bala,1
Balkis,1
Banje-Saha,1
Bara,1
Barakah,1
Baran,1
Barin,1
Barnabas,2
Barne,2
Bashkim,1
Basil,1
Basma,1
Bastian,1
Battista,1
Batu,1
Bawo,1
Bayram,1
Bea,1
Beate,1
Beatrice,3
Beau,1
Bebars,1
Befkadu,1
Behi,1
Bela,6
Belal,1
Bella,2
Bella-Arielle,1
Belle,1
Belya-HÄ±zÄ±r,1
BelÃ©n,1
Ben,52
Ben-Marco,1
Ben-Said,1
Benaja,2
Bene,1
Benedikt,10
Benita,1
Benja,1
Benjamin,34
Bennek,1
Bennet,3
Bennett,2
Benno,7
BenoÃ®t,1
Bent,1
Bente,1
Beo,1
Beran,1
Berenike,2
Berkin,2
Bermanakusumah,1
Bernadette,1
Bernd,2
Berndt,1
Bernhard,2
Bert,1
Berta,1
Beth,1
Beyazid,1
Beyene,1
Beyza,1
Bezalel,1
Bhasbir,1
Bianca,1
Bilal,5
Bilijano,1
Bilillee,1
Birdzhan,1
Birgit,3
Birk,1
Bjarne,3
BjÃ¶rn,2
Bo,2
Bobby,1
Bogdan,1
BoglÃ¡rka,2
BogumiÅa,1
Bohyeba,1
Bondoa,1
Bonheur,1
Bora,2
Bosse,1
Bouthaena,1
Bresenio,1
Brian,3
Brida,1
Bright,1
Brigitta,1
Brigitte,1
Bruno,10
Bryan,2
Bryar,1
Bugar,1
Burak,1
Bushra,1
BÃ©la,1
BÃ¶rje,1
Cahit,1
Caitlyn,1
Calla,1
Callan,1
Calliope,1
Calvin,1
Camara,1
Cameron,1
Camila,1
Camilia,1
Camilla,2
Can,5
Canisia,1
Cara,1
Carina,1
Carl,22
Carla,11
Carlie,1
Carlina,1
Carlo,11
Carlos,2
Carlotta,14
Carola,1
Carolin,3
Carolina,2
Caroline,6
Cartesia,1
Casey,1
Caspar,6
Casper,1
Cassius,1
Cataleya,2
Catalina,1
Catania,1
Catherine,1
Cattaleya,1
Cecile,1
Cecilia,3
Celeste,1
Celia,2
Celia-Rose,1
Celina,3
Celine,4
Cem,2
Cemo,1
Ceyda,1
Chalom,1
Charleen,1
Charles,1
Charlie,8
Charlotta,3
Charlotte,60
Charlottte,1
Charly,3
Chia,1
Chiara,6
Chinazaekpere,1
Chinemerem,1
Chiraaz,1
Chisom,1
Chris,1
Christa,1
Christelle,1
Christian,18
Christiane,1
Christiano,1
Christin,4
Christina,4
Christine,4
Christof,2
Christoph,2
Christopher,6
Christophorus,1
Christos,1
Chukwujama,1
Church,1
Cihan,1
Cihangir,1
Cila,1
Cilia,1
Civan,1
Civita,1
Claire,5
Clara,41
Clarissa,1
Claude,1
Clea,3
Clemens,7
Cleo,5
Cloude,1
ClÃ©mence,1
Coco,1
Colin,5
Collin,1
Conner,5
Conrad,3
Constanin,1
Constantin,13
Constantine,1
Consuelo,1
Coralie,1
Cornelia,1
Cornelis,1
Cornelius,1
Cosima,4
