vorname,anzahl
Aaliyah,1
Aalyah,1
Aarav,1
Aaricia,1
Aaron,8
Aayan,1
Abby-Chanelle,1
Abdalaal,1
Abdalla,2
Abdel,1
Abdelgader,1
Abdelhak,1
Abdelkarim,1
Abdelmuniem,1
Abdelrahman,1
Abdelsalam,1
Abderrahman,1
Abdoul,1
Abdul,1
Abdul-Aziz,1
Abduladim,1
Abdulah,1
Abdulaziz,1
Abdulbaset,2
Abdulhameed,1
Abdulla,3
Abdullah,2
Abdullahi,1
Abdulmenam,1
Abdulrahman,7
Abdurahman,1
Abdurrahman,2
Abdussalam,1
Abhiraj,1
Abi,1
Abou,1
Aboubacar,1
Abu-Bakr,1
Abubakr,1
Ace,1
Acelya,1
Achim,1
Adam,18
Adela,1
Adele,1
Adem,3
Adil,3
Adir,1
Adis,1
Adiya,1
Adni,1
Adrian,13
Adrian-Marcelo,1
Adriana,1
Adriano,3
Aeneas,2
Aenne,1
Afaf,1
Afifa,1
Afua,1
Aglaia,1
Agnes,4
Agyem,1
AgÃ®d,1
Ahmad,3
Ahmed,6
Ahmet,1
Ai,2
Aicha,2
Aileen,2
Aimee,1
Aimilios,1
Aischa,1
Aisha,1
Ajana,1
Akein,1
Akiko,1
Akira,2
Akram,2
Akwele,1
Al-Mutasim,1
Alan,1
Aland,1
Alanna,2
Alaz,1
Alba,1
Albert,5
Alberto,2
Albesian,1
Alea,2
Alec,1
Aleida,1
Alejandra,1
Alejandro,1
Aleksandar,1
Aleksandra,1
Alena,1
Alessandra,2
Alessandro,2
Alessia,3
Aleu,1
Alexa,1
Alexander,76
Alexander-Johann,1
Alexandra,13
Alexandrine,1
Alexej,2
Alexey,1
Alexia,1
Alexis,1
Alexius,1
Aleyna,3
Alfons,1
Alfred,1
Ali,19
Alia,1
Alice,3
Alicia,5
Alie,2
Alima,1
Alin,1
Alina,13
Alina-Maria,1
Alina-Sofida,1
Alisa,2
Alisha,3
Alissa,4
Aliya,1
Aliyah,2
Allah,1
Alma,4
Almar,1
Almina,1
Alonso,1
Alp,1
Alparslan,1
Alperen,1
Altaeb,1
Alva,2
Alvar,1
Alyan,1
Alyasa,1
Alysha,1
Alyssa,1
Alzhra,1
Amadeo,1
Amadeus,3
Amali,1
Amalia,9
Amalie,1
Amanda,3
Amang,1
Amar,3
Amara-Ceylin,1
Amaru,1
Amarvir,1
Amasia,1
Amata,1
Amatus,1
Amaury,1
Amber,1
Amelia,4
Amelie,23
Amer,1
Amila,1
Amilia,1
Amin,6
Amin-Joel,1
Amina,7
Amine-Eslem,1
Amir,9
Amira,3
Amira-Jasmin,1
Amira-Lena,1
Amitis,1
Amjano,1
Ammar,1
Amund,1
Amy,4
AmÃ©lie,5
An,2
Ana,3
Anabel,3
Ananda,2
Anas,3
Anass,1
Anastasia,6
Anastasija,1
Anatolij,1
Anda,1
Anders,1
Anderson,1
Andia,1
Andor,1
Andra,1
Andre,3
Andrea,3
Andreas,7
Andree,1
AndreeviÄ,1
Andreevna,1
Andrej,1
Andres,2
Andrey,1
AndrÃ©,4
Anela,1
Anetta,1
Angel,2
Angela,1
Angelie-Sophie,1
Angelika,1
Angelina,3
Angeline,1
Angelo,1
Angnes,1
Anguete,1
Ani,1
Anife,1
Anika,1
Anita,1
Anja,1
Anjelina,1
Anmol,1
Ann,2
Anna,50
Anna-Maria,1
Anna-Marie,3
Annabelle,1
Annalena,1
Annalotta,1
Anne,3
Annelie,1
Anneliese,1
Annelise,1
Annerike,1
Anni,5
Annie,1
Annija,1
Annika,11
Anny,1
Anouk,2
Anthony,2
Antoine,2
Antoinette,1
Anton,31
Antoni,2
Antonia,25
Antonio,4
Antonio-Giulio,1
Antonius,1
Anuk,1
Anur,1
Anwar,1
Anxiang,1
Aouali,1
Apollinar,1
Apollonia,1
April,1
Aras,2
ArdÄ±l,1
Aren,1
Argjend,1
Ari,1
Aria,1
Arian,8
Ariana,3
Ariane,1
Arias,1
Ariel,1
Ariella,1
Arigun,1
Arijana,1
Arina,2
Arinasa,1
Aris,1
Aristea,1
Arjen,1
Arjin,1
Arjun,1
Arkadius,1
Arlo,1
Armaan,2
Armande,1
Armani,1
Armin,4
Armina,1
Armstrong,1
Arnav,1
Arne,2
Arnold,2
Aroha,1
Arohi,1
Aroma,1
Aron,1
Arslan,1
Art,1
Artemij,1
Arthur,7
Artis,1
Artur,4
ArtÃ¶m,1
Arved,1
Arvid,1
Arwen,2
Aryaan,1
Arzu,1
Asal,1
Aseel,1
Ashish,1
Asiya,1
Asiye,1
Asma,1
Asmaa,1
Asmin,1
Assad,1
Atchiman,1
Atiye,1
Audrey,1
Audrey-Anna,1
August,1
Auguste,2
Augustine,1
Augustus,1
Aurel,1
Aurela,1
Aurelia,6
Aurelian,1
Aurelius,1
Aurora,3
AurÃ©lien,1
Ava,5
Avyukt,1
Aya,1
Ayaan,1
Ayah,1
Ayda,1
Ayden,2
Ayedh,1
Ayk,1
Ayla,2
Aylia,2
Aylin,2
Ayoub,3
Ayse,1
Aysu,1
Ayub,1
Ayushanti,1
AyÅe,1
AyÅe-Zeynep,1
Azad,1
Azaldin,1
Azeem,1
Azim,1
Azra,1
AÃ¯cha,1
AÅÄ±k,1
B'Elijah,1
Babette,1
Badr,1
Bahar,3
Bailasan,1
Bailey,1
Bakhtawar,1
Balduin,1
Balind,1
Balthasar,3
Baptist,1
Bara,1
Baraa,1
Baran,2
Barbara,2
Barfin,1
Barka,1
Barkindo,1
Barnd,1
Bashir,1
Basilio,1
Bastiaan,1
Bastian,3
Batol,1
Batu,1
Batuhan,1
Bayar,1
Bea,1
Beatrice,2
Becky,1
Bejia,1
Bela,3
Belal,1
Bella,1
Ben,34
Bendik,1
Bendt,1
Benedict,3
Benedikt,21
Bengisu,1
Benjamin,28
Benn,1
Bennet,5
Bennett,1
Benno,2
Berat,5
Berdan,1
Beren,1
Berfin,1
Berit,1
Berk,1
Berken,1
Berkin,1
Berna,1
Bernard,1
Bernd,1
Bernhard,3
Berta,1
Betty,1
BetÃ¼l,1
Beyza,1
Bianca,1
Bianka,1
Biatriz,1
Bilal,9
Bilel,1
Bill,1
Billy,1
Birame,1
Birte,2
Biyan,1
Biyon,1
Bjarne,2
BjÃ¶rn,1
Blendi,1
Blessing,2
Bo,1
Bodo,1
Boen,1
Bogdan,1
Bojun,1
Bonkov,1
Bonnie,1
Boris,1
Botho,1
Bouba,1
Bradly-Kyell,1
Braik,1
Brice,1
Brigitta,1
Brigitte,1
Bruce,1
Bruno,4
Bryan,2
Buket,1
Buse,1
Bushra,1
BÃ¼nyamin,1
BÃ¼Åra,1
Caelan,1
Camie,1
Camilla,1
Can,6
Canluca,1
Cara,3
Carina,4
Caris,1
Carl,11
Carla,8
Carlos,2
Carlota,1
Carlotta,9
Carmen,2
Carolin,5
Carolina,3
Caroline,3
Carsten,2
Caspar,3
Casper,1
Cassandra,1
Cassia,1
Cassian,1
Catalea,1
Catalin,1
Catalina,1
Caterina,1
Catharina,3
Catharine,1
Catherine,3
Cathrine,1
Cathy,1
Cecil,1
Cecile,1
Cecilia,6
Cedardel,1
Cedrik,1
Celal,1
Celeste,1
Celia,1
Celina,4
Celine,6
Celya,1
Celyna,1
Cem,3
Cennet,1
Ceyda,1
Ceylin,2
Chahd,1
Chahin,1
Chakib,1
Chalil,1
Chanelle,1
Chantal,1
Charles,1
Charlotta,3
Charlotte,53
Charly,1
Charu,1
Cheick,1
Chiara,2
Chifa,1
Chloe,1
ChloÃ©,2
Christa,2
Christel,3
Christelle,1
Christian,20
Christiane,3
Christin,6
Christina,6
Christine,6
Christo,1
Christoph,5
Christopher,7
Christos,1
Cidra,1
Cihan,1
Cisco,1
Claire,2
Clara,38
Clara-Louise,1
Claudia,2
Claudine,1
Claus,1
Clemens,9
Clementine,1
Cleo,2
Coelestin,1
Colin,1
Collin,2
Conner,1
Constant,1
Constantin,17
Corinna,1
Cornelia,1
Cornelius,4
Corvin,1
Cosima,1
Cosima-Maria,1
Coumba,1
CÃ¤cilia,1
CÃ©cile,1
CÃ©lestine,1
Daan,1
Dagmar,1
Dalal,1
Dalia,1
Dalil,1
Damian,8
Damien,1
DamiÃ¡n,2
Damon,1
Damyan,1
Dana,4
Danai,1
Danh,1
Danica,1
Daniel,29
Daniel-Christian,1
Daniela,2
Daniele,1
Danielle,1
Danil,2
Danilo,3
Danny,3
Dante,1
Danya,2
Danyal,1
Daras,1
Daria,3
Darian,4
Darin,2
Dario,1
Daris,1
Dariush,1
Darya,1
Dave-John,1
David,46
Davide,1
Davin,1
Davin-Irfan,1
Davit,1
Davu,1
Dayan,1
Dean,3
Defne,2
Dehat,1
Delia,3
Delian,1
Denis,2
Denise,4
Deniz,2
Dennis,4
Denny,1
DesirÃ©e,1
Desmond,1
Desty,1
Devi,1
Devid,1
Devin,1
Devran,1
Deyyan,1
Dhanny,1
Dhruv,1
Diana,6
Diara,1
Diego,4
Diego-Dennis,1
Dielli,1
Dierk,1
Dieter,1
Dietrich,1
Diez,1
Dila,1
Dilan,2
Dilara,3
Dilay,2
Diljan,1
Dilnaz,1
Dimalat,1
Dimitrios,1
Dimitrova,1
Dina,2
Dio,1
Diola,1
Dion,1
Dionis,1
Dirk,1
Djinga,1
Dominic,4
Dominik,10
Dona,1
Donart,1
Donato,1
Dora,1
Doreen,1
Dorota,1
Dorothea,3
Dorothy,1
Dorthe,1
Doruk,1
Dounia,1
Dragan,1
Dren,1
Driss,1
Drita,1
Duaa,1
Duhan,1
Dunya,1
Dustin,2
Dylan,3
DÃ¼nya,1
DÃ¼zgÃ¼n,1
Earl,1
Ebba,1
Eberhard,1
Ebrar,1
Ebru,1
Ebtesam,1
Ece,1
Ecenaz,1
Eckhard,1
Ecrin,3
Ecrin-Ebrar,1
Eda,2
Edda,3
Edeltrud,1
Eden,1
Edgar,1
Edith,2
Eduard,5
Edward,2
Efe,2
Ege,1
Eginhard,1
Eila,1
Eileen,2
Ejon,1
Ekin,2
El-Shaddai,1
Ela,1
Elaine,1
Elaine-Maria,1
Elanur,2
Elarda,1
Elay,1
Elayne,1
Elen,1
Elena,8
Eleni,3
Eleonora,1
Eleonore,1
Elfije,1
Elfriede,1
Elia,6
Eliah,4
Eliana,4
Elias,49
Elias-Sam,1
Elida,1
Elif,5
Elijah,1
Elin,1
Elina,1
Elisa,35
Elisabeth,29
Elisabetha,1
Elise,4
Eliseo,1
Elisha,1
Elissa,1
Elizabeth,3
Eljesa,1
Ella,26
Ellen,2
Elli,1
Ellie,1
Ellinor,1
Elmabrouk,1
Elmar,1
Elmedin,1
Elmehdi,1
Elois,1
Elon,1
Elsa,5
Elsharie,2
Elspeth,1
Eltayeb,1
Elvira,1
Elyan,1
Elyas,1
Elza,1
ElÃ¢,1
Emanuel,2
Emely,4
Emely-Hope,1
Emil,27
Emilia,64
Emilia-CÃ©line,1
Emilia-Sophia,1
Emilian,3
Emiliano,1
Emilie,5
Emilio,6
Emilio-Jerome,1
Emilio-Savas,1
Emily,16
EmilÃ½,1
Emin,5
Emir,9
Emma,48
Emmanuella,1
Emmert,1
Emmi,4
Emmy,1
Emna,1
Emran,1
Emre,3
Emrecan,1
EmÃ­lia,1
Endrit,1
Enes,2
Engin,1
Eni,1
Enis,1
Enisa,1
Enna,1
Enni,1
Enno,2
Enrico,2
Ensar,2
Era,1
Eray,1
Erdem,2
Erekle,1
Eren,3
Erfanjan,1
Ergin,1
Eric,7
Erich,1
