vorname,anzahl
Aaliyah,3
Aaliyah-Sophie,1
Aaron,16
Aayansh,1
Aban,1
Abbas,2
Abdalla,1
Abdallah,1
Abdel,1
Abdel-Kader,1
Abdelkader,1
Abdelmoneim,1
Abdelrahman,2
Abderrahim,1
Abdoulaye,2
Abdourrahmen,1
Abdul,3
Abdula,1
Abdulaziz,1
Abduljwad,1
Abdulkarim,1
Abdulla,2
Abdullah,4
Abdullahi,1
Abdulmagid,1
Abdulnoor,1
Abdulrahman,3
Abdurrahim,1
Abdurrahman,1
Abenezer,1
Abigail,1
Abinaya,1
Abishek,1
Aboubakar,1
Abrar,1
Abubakr,1
Achim,1
Achraf,1
Ada,3
Adalswintha,1
Adalwin,1
Adam,21
Adea,2
Adel,2
Adele,1
Adelin,1
Adelina,1
Adem,1
Adham,1
Adiel,1
Adnan,2
Adolfo,1
Adrian,19
Adriana,4
Adriatik,1
Adriel,2
AdriÃ¡n,1
Adyan,1
Adzmhar,1
Aemilia,1
Aeneas,1
Aenne,1
Afnan,1
Agnes,1
AgnÃ¨s,1
Agung,1
Ahlam,1
Ahmad,4
Ahmadou,1
Ahmadu,1
Ahmed,15
Ahmet,2
Aicha,1
Aid,1
Aiden,1
Aileen,1
Ailin,1
AimÃ©e,2
Aino,1
Ainoa,1
Aischa,1
Aisha,1
Aissa,1
Aiven,1
AiyÃ©lannkÃª,1
AiÅe,1
Ajan,1
Akemi,1
Akif,2
Akram,1
Akugbe,1
Al-Baraa,1
Alaa,1
Alan,4
Aland,2
Alano,1
Alanur,1
Alaz-Selim,1
Alba,2
Albert,4
Albrecht,2
Aldinov,1
Alea,2
Aleandro,2
Alecia,1
Aleen,1
Alejandro,1
Aleksandar,1
Aleksej,1
Alesia,1
Alessa,1
Alessandra,2
Alessandro,5
Alessia,8
Alessio,9
Alex,2
Alexa,4
Alexander,83
Alexandra,12
Alexandre,2
Alexandros,1
Alexandru,2
Alexej,1
Alexey,1
Alexis,2
Aleyna,2
Alfons,3
Alfred,2
Ali,25
Alica,1
Alice,8
Alicha,1
Alicia,3
Alime,1
Alin,1
Alina,11
Alina-Sophie,1
Aline,1
Alisa,5
Alisha,1
Alisher,1
Alissa,3
Aliya,4
Aliyah,1
Aliyah-Elham,1
Allegra,1
Alma,6
Almas,1
Almir,1
Almita,1
Alon,1
Aloysia,2
Alp,2
Alperen,1
Alpha,1
Alphan,1
Alsdek,1
Altay,1
Alva,2
Alwin,1
Alwina,1
Alya,1
Alyah,1
Alysha,1
Alyssia,1
Amaar,1
Amadeus,5
Amal,1
Amalia,9
Amalia-Antigone,1
Amalie,1
Aman,1
Amanda,1
Amandus,1
Amani,1
Amar,2
Amara,2
Amari,1
Amaro,1
Amaury,1
Amaya,2
Amber,1
Ameera,1
