vorname,anzahl
(Eigenname),1
Aaliyah,1
Aarian,1
Aaron,14
Abd,2
Abdalla,3
Abdalrahman,1
Abdel,3
Abdelbari,1
Abdelgader,1
Abdelrahman,2
Abdelsamad,1
Abderrahman,1
Abdifatah,1
Abdourrahman,1
Abduallah,1
Abdul,2
Abdulah,1
Abdulati,1
Abdulghani,1
Abdulhamed,1
Abduljabar,1
Abdullah,5
Abdulrahman,2
Abdur-Rahman,1
Abdurahman,1
Abedullah,1
Abety,1
Abigaelle,1
Ablavi,1
Abraham,1
Abu,1
Achilleas,1
Ada,4
Adalbert,1
Adalberto,1
Adam,12
Adama,1
Adele,4
Adelheid,1
Adelina,1
Adeline,1
Adhurim,1
Adib,1
Adina,1
Adisa,1
Adjo,1
Adkins,1
Adolorata,1
Adrian,13
Adriana,1
Adriano,1
Adriel,1
Aemilian,1
Aeneas,1
Agatha,1
Agha,1
Agnese,1
Agnieszka,1
Agustin,1
Ahim,1
Ahmad,2
Ahmed,7
Ahmet,4
Ai,1
Aiad,1
Aicha,1
Aida,1
Aiden,1
Aihan,1
Aiko,1
Aila,1
Aileen,2
Aimara,1
Aimi,1
Ajan,1
Ajar,1
Akein,1
Akif,1
Al,1
Alaa,1
Alain,1
Alan,2
Alara,2
Alarik,1
Alasdair,1
Alba,1
Albert,3
Albijona,1
Albina,1
Alea,2
Alegra,1
Alehandro,1
Alejandra,1
Alejandro,1
Aleksandra,1
AleksandroviÄ,1
Aleksandrovna,3
AlekseeviÄ,3
Aleksey,1
Alena,2
Alend,1
Alerio,1
Alessa,1
Alessandra,2
Alessia,1
Alessio,3
Alex,2
Alexa,4
Alexander,76
Alexandra,16
Alexandre,1
Alexandrova,1
Alexi,1
Alexia,3
Alexis,1
Aleyna,2
Alfadil,1
Alfons,1
Alfred,3
Ali,16
Ali-Riza,1
Alia,2
Aliaan,1
Aliah,1
Aliana,1
Alica,1
Alice,5
Alicia,3
Alicja,1
Alijan,1
Aliki,1
Alin,1
Alina,16
Aline,1
Alisa,3
Alischer,1
Alisia,1
Alissa,1
Alix,2
Aliya,1
Aliyah,1
AliÅ¡er,1
Allen,1
Allison,3
Alma,6
Almila,1
Alonso,1
Alsdek,1
Altin,1
Altion,1
Altuna,1
Alva,2
Alvar,1
Alvin,1
Alwin,1
Amadeus,1
Amadou,2
Amal,1
Amalia,6
Amalie,2
Aman,2
Amani,2
Amar,3
Amara,1
Amaru,1
Amelia,2
Amelie,20
Amilia,1
Amin,12
Amina,5
Amine,2
Amir,5
Amira,7
Amne,1
Amr,1
Amy,4
AmÃ©lie,3
An,1
Ana,2
Anabell,1
Anabelle,1
Anahita,1
Anais,1
Analena,1
Ananda,1
Anas,3
Anastasia,3
Anastassia,1
AnaÃ¯s,1
Ande,1
Andre,1
Andrea,5
Andreas,19
Andreas-Louis,1
Andreea,1
AndreeviÄ,1
Andrey,2
Andriana,1
Andrzej,1
AndrÃ©,2
AndrÃ©s,1
Anfissa,1
Angela,3
Angelie,1
Angelika,1
Angeliki,1
Angelina,3
Angelo,1
Angelos,1
Anian,1
Anicio,1
Anika,1
Anike,1
Anis,2
Anisa,3
Anisha,2
Anissa,3
Anitara,1
Anjo,1
Ann,2
Ann-Kathrin,1
Ann-Sophie,2
Anna,55
Anna-Lena,2
Anna-Lina,1
Anna-Maria,1
Anna-Raphaela,1
Anna-Sophie,1
Annabelle,4
Annalena,1
Anne,4
Anne-Charlotte,1
Anne-Karoline,1
Anne-Kathrin,1
Anneke,1
Anneleen,1
Annelia,1
Annemarie,2
Annette,2
Anni,1
Annie,1
Annika,13
Anouar,1
Anouk,3
Ansgar,1
Anthea,1
Anthony,2
Antje,2
Antoine,2
Antolin,1
Anton,31
Antonella,1
Antonia,23
Antonie,1
Antonio,4
Antonius,3
Anuscha,1
Aras,4
Arbijon,1
Arda,3
Arendje,1
Ari,2
Ariadna,1
Ariadne,1
Arian,4
Arian-Milan,1
Ariana,2
Arianna,2
Arife,1
Arin,1
Arina,2
Aris,1
Aristotelis,1
Aritz,1
Arjen,1
Arjun,1
Arlena,1
Arlind,1
Arman,2
Armande,1
Armin,2
Armita,2
Arne,4
Arooj,1
Arsema,1
Artan,1
Arthur,4
Artur,1
ArtÃ¶m,1
Arun,1
Arved,1
Arvid,3
Aryan,2
Arzu,1
Aschraf,1
Ashane,1
Ashwinder,1
Asif,1
AslÄ±,1
Asma,1
Asmaa,2
Asmat,1
Asmin,1
Assel,1
Assia,1
Asya,1
Ata,1
Atash,1
Atmar,1
Aude,1
August,1
Auguste,1
Augustina,1
Augusto,1
Augustus,2
Aura,1
Aurel,2
Aurelia,3
Aurinko,1
Ava,9
Aviado,1
Avina,1
Avis,1
Axel,1
Aya,3
Aybike,1
Ayda,1
Aydan,1
Ayla,1
Ayleen,1
Aylia,1
Aylin,8
Ayman,4
Aynur,1
Ayoub,2
Ayra,1
Aysel,1
Aysu,1
AyÅe,1
AyÅenur,2
Azad,4
Aziz,2
Aziza,1
Azra,2
Azra-Rahime,1
Azranur,1
Ba-Henry,1
Babak,1
Baboucarr,1
Baddal,1
Bademe,1
Baher,1
Bahon,1
Bahoz,1
Bailo,1
Bajram,1
Bakr,2
Baraa,1
Baran,3
Barbara,7
Basem,1
Bashir,1
Basil,1
Basma,1
Bassem,1
Bastian,4
Batchata,1
Beatrice,1
Bedirhan,1
Beeke,1
Bejna,1
Bela,3
Belinda,1
Bella,2
Ben,48
Ben-Louis,1
Ben-Luca,1
Ben-Noah,1
Bendix,1
Benedict,1
Benedicta,1
Benedikt,8
Benignus,1
Benjamin,30
Bennet,5
Benno,2
Bent,1
Beqir,1
Berat,6
Beren,1
Berenike,2
Berfin,2
Berin,1
Berislav,1
Bernadette,1
Bernhard,4
Bernhardine,1
Berra,1
Berrin,1
Besart,1
Bessjana,1
Betty,1
Betulla,1
BetÃ¼l,2
Beyza,2
Bianca,1
Bijan,1
Bilal,5
Bintou,1
Birk,1
Biwar,1
Bizar,1
Bjarne,2
Bjorn,1
Blake,1
Bleard,1
Blendi,1
Blessing,1
Blunden,1
Boen,1
Boran,2
Borislavova,1
Borisov,1
Bosse,1
Boudewijn,1
Brer,1
Brigitte,2
Brinja,1
Bruce,1
Bruno,3
Bryan,2
Buabeng,1
Burinyuy,1
Burkhard,1
Burkhardt,1
BÃ¡lint,2
BÃ¤rbel,2
BÃ©la,3
BÃ¼lent,1
Cahyani,1
Caleb,1
Calogero,1
Cameron,1
Camilla,1
Camille,2
Can,7
Caner,1
Cansel,1
Cara,3
Carina,2
Carl,14
Carl-Josef,1
Carla,6
Carlo,4
Carlos,2
Carlotta,15
Carmelito,1
Carmen,1
Carola,1
Carolin,3
Carolina,6
Caroline,13
Carolis,1
Casimir,1
Caspar,2
Cassandra,1
Cassian,1
Cassius,1
Cataleia,1
Cataleya,2
Catalina,1
Catharina,5
Catherina,1
Cavit,1
Caya,1
Cecile,1
Cecilia,1
CecÃ­lia,1
Celia,1
Celina,5
Celina-Marie,1
