vorname,anzahl
Aaart,1
Aadrika,1
Aadya,1
Aaliyah,4
Aarin,1
Aaron,20
Aayan,1
Aayansh,1
Aaylia,1
Abal,1
Abd,1
Abdalla,1
Abdelaziz,1
Abdelrahman,1
Abdoul,1
Abdoulaye,1
Abdoulwahab,1
Abdul,2
Abdulhak,1
Abdullah,3
Abdulrahman,1
Abdulrraziq,1
Abdurahman,1
Abdurrahman,1
Abel,3
Abhin,1
Abigail,2
Abtin,1
Abulfazl,1
Achaz,1
Achim-Stefan,1
Achraf,1
Ada,5
Adam,36
Adan,1
Adar,3
Adaya,1
Adea,1
Adeline,1
Adelita,1
Adem,4
Aden,1
Adhvenika,1
Adhyuth,1
Adib,1
Adil,2
Adilia,1
Adith,1
Aditya,1
Adiva,1
Adnan,3
AdonaÃ¯,1
Adoniah,1
Adonis,1
Adora,1
Adrian,15
Adriana,2
Adrianna,1
Adriano,1
AdriÃ¡n,1
Advait,1
AdÃ¨le,1
Aegidius,1
Aemery,1
Aeneas,1
Afia,1
Afif,1
Afra,1
Agapi,1
Aggelos,1
Agonis,1
Ahilleas,1
Ahlam,1
Ahmad,10
Ahmed,6
Ahmet,2
Ahnaf,1
Ahsen,1
Aicha,1
Aida,1
Aiden,2
Ailin,1
AimÃ©e-Rose,1
Aisha,6
Aissatou,1
Aitana,2
Aizelle,1
Ajan,1
Ajana,2
Ajani,1
Ajla,2
Ajman,1
Akbar,1
Akeem,1
Akeva,1
Akil,1
Akorfa,1
Alaa,1
Alab,1
Aladji,1
Alan,1
Aland,1
Alane,1
Alara,1
Alaya,1
Alayah,1
Alayna,1
Alazne,1
Alba,1
Albert,5
Alberto,1
Albin,1
Albrecht,1
Albrim,1
Aldana,1
Aldea,1
Alea,8
Aleister,1
Aleksandar,2
Aleksandr,1
AleksandroviÄ,1
Aleksandrovna,1
Alessandro,2
Alessia,7
Alessio,4
Alex,1
Alexander,43
Alexandra,3
Alexandre,1
Alexandros,3
Alexandru,5
Alexandru-Nikolas,1
Alexei,1
Alexis,3
Alexsandra,1
Aleya,1
Aleyna,2
Alfons,1
Alfonso,1
Alfred,4
Ali,11
Alia,2
Alice,4
Alicia,3
Aligaya,1
Alin,3
Alina,7
Alisa-Malia,1
Alisha,1
Alissa,4
Alissia,1
Aliya,2
Aliyah,1
Aljilj,1
Alma,11
Almas,1
Almira,2
Almotasem,1
Alois,2
Aloys,1
Alp,5
Alparslan,4
Alpay,1
Alper,1
Alpha,2
Alsattar,1
Altay,1
Alva,5
Alvin,1
Alwin,1
Alya,3
Alysha,1
Alyx,1
Alzarouq,1
Amad,1
Amadea,2
Amadeus,1
Amadou,1
Amaia,1
Amal,6
Amalia,22
Amalia-Ioana,1
Amalia-Marie,1
Amaliya,1
AmalÃ­a,1
Amanah,1
Amanda,1
Amandine,1
Amant,1
Amar,4
Amara,10
Amarachi,1
Amarachukwu,1
Amari,2
Amaro,1
Amaru,1
Amaya,12
Amayah,1
Amaziah,1
Amber,3
Ambra,1
Amelia,11
Amelie,24
Amelio-Eliano,1
Amelya,1
Amer,1
Amila,2
