vorname,anzahl
Aadvik,1
Aairah,1
Aaliya,1
Aaliyah,1
Aaliyah-Naimah,1
Aarish,1
Aaron,13
Aayat,1
Aban,1
Abasin,1
Abdallah,2
Abdel,1
Abdelaziz,1
Abdelhak,1
Abdelrahman,1
Abdelrahman-Zakaria,1
Abdi,1
Abdirahman,1
Abdu,1
Abdul,1
Abdul-Raheem,1
Abdul-Rahman,1
Abdulahi,1
Abdulaziz,2
Abdulcelil,1
Abdulhamid,1
Abdulkadir,1
Abdulla,3
Abdullah,7
Abdulrazzaq,1
Abel,1
Abena,1
Abhay,1
Abhin,1
Abigail,2
Abisha,1
Aboelela,1
Aboubacar,2
Abubaker,1
Ace,1
Achaleke,1
Achim,1
Achsaya,1
Ada,5
Adalbert,1
Adam,22
Adan,1
Adanna,1
Adanna-Joanie,1
Adar,2
Adea,1
Adele,4
Adelina,1
Adeline,1
Adelmar,1
Adem,2
Adesuwa,1
Adi,1
Adiam,1
Aditi,1
AdjÃ©tÃ©,1
Adnan,1
Adriaan,1
Adrian,13
Adriana,2
Adriano,2
Adriel,2
Advika,1
Advitiya,1
Aegon,1
Aenne,1
Afrin,1
Afron,1
Agate,1
Aghogho,1
Agit,1
Agnes,2
Agness,1
Agnieszka,1
Agung,1
Aham,1
Ahlas,1
Ahmad,8
Ahmed,4
Ahmet,3
Ahsen,2
Aicha,2
Aiden,4
Aina,2
Aischa,1
Aisha,2
Aiza,1
Ajan,3
Ajla,2
Akchaya,1
Alaan,1
Alan,1
Aland,1
Alara,3
Alba,1
Albert,7
Alberte,1
Aldin,1
Aldona,1
Alea,2
Aleander,1
Aleandro,1
Aleen,1
Alejandro,1
Aleksandar,1
Aleksander,1
Alena,2
Alenia,1
Alesha,1
Alessandro,4
Alessia,2
Alessio,3
Alex,5
Alexander,78
Alexandra,7
Alexandros,2
Alexej,1
Alexsandra,1
Aleyna,3
Alfons,1
Alfred,3
Ali,11
Alia,1
Alias,1
AlibekoviÄ,1
Alice,4
Alicia,4
Alicja,2
Alina,14
Alinda,1
Alisa,5
Alisha,2
Aliss,1
Alissa,1
