vorname,anzahl
?brahim,1
?irin,1
?layda,1
?oana,1
?tefan,1
Aadel,1
Aaisha,1
Aaliah,1
Aaliya,1
Aaliyah,1
Aaran,1
Aaren,1
Aari,1
Aaron,24
Aashvik,1
Abbakar,1
Abbas,2
Abdalltif,1
Abdalrahman,1
Abdelkarim,1
Abdellatef,1
Abderrahman,1
Abdo,2
Abdsalam,1
Abdul-Rahmon,1
Abdulhadi,1
Abdullah,4
Abdulrahman,1
Abdulsalam,2
Abdurahim,1
Abdurrahman,2
Abeni,1
Abhiraaj,1
Abigael,1
Abiyel,1
Ableen,1
Abolfazl,1
Abraham,1
Ace,2
Ada,2
Adam,26
Adan,1
Adanna,1
Adeboye,1
Adel,1
Adele,1
Adelheid,1
Adem,2
Aden,1
Adian,1
Adila,1
Adilio,1
Adin,1
Adis,1
Adnan,1
Adreus,1
Adrian,14
Adriana,5
Adriano,5
Adrien,1
Adrienne,1
Adrina,1
Aeneas,1
Aeryn,1
Agajanovich,1
Agamveer,1
Agata,1
Agatha,1
Aggelos,1
Agnes,2
Agnieszka,1
Ahmad,7
Ahmed,5
Ahmet,2
Aicha,1
Aidan,1
Aiden,1
Aikaterini,2
Aileen,1
Ailin,2
Aimée,1
Ainara,1
Aineas,1
Aischa,1
Aischa-Aya,1
Aisosa,1
Aizeyosabo,1
Ajay,1
Ajmal,1
Ajna,1
Akacia,1
Akif,1
Alaa,1
Alan,4
Alana,1
Alannah,1
Alanoud,1
Alara,2
Alba,2
Albert,8
Alberto,1
Albion,1
Aldin,1
Alea,4
Aleandro,1
Aleece,1
Aleen,2
Alejandro,4
Aleksandrova,2
Alela,1
Alem,1
Alena,4
Alesha,1
Alesja,1
Alessandro,3
Alessia,1
Alessio,4
Alex,3
Alexa,1
Alexander,82
Alexandra,7
Alexandros,2
Alexandru,1
Alexandru-Nicolas,1
Alexej,1
Alexia,1
Alexis,2
Aleyna,1
Alfons,2
Alfred,3
Ali,18
Ali-Asaf,1
Alia,4
Alice,1
Alicia,8
Alida,1
Alies,1
Aliki,1
Alin,3
Alina,7
Alisa,2
Alisha,2
Alissa,6
Aliya,4
Aliyah,3
Aliyar,1
Aliça,1
Allison,1
Alma,8
Almas,2
Alois,2
Alp,2
Alparslan,1
Alper,1
Alperen,1
Alptekin,1
Alton,1
Alva,11
Alvin,2
Alvina,1
Alwar,1
Alwina,1
Alya,2
Alyssa,1
Amadeus,1
Amaka,1
Amal,4
Amalia,8
Amalia-Elena,1
Amalia-Isabel,1
Amalie,2
Amanah,1
Amanda,4
Amani,4
Amar,1
Amara,3
Amber,2
Amelia,14
Amelie,20
Amelie-Sophie,1
Amena,1
Amera,1
Amil,1
Amila,3
Amilia,4
Amin,11
Amina,7
Amine,3
Amir,10
Amira,10
Ammara,1
Ammy,1
Amos,3
Amrei,1
Amy,3
Amélie,2
An,1
An-Max,1
Ana,4
Anab,1
Ananda,1
Anas,3
Anastasia,6
Anaëlle,1
Anaïs,2
Andjelija,1
Andjelo,1
Andrada-Maria,1
