vorname,anzahl
Aaliyah,2
Aanya,1
Aaricia,1
Aaron,11
Aasia,1
Abas,1
Abbas,2
Abd,1
Abdalla,1
Abdelhadi,1
Abdelrahim,1
Abdin,1
Abdourrahman,1
Abdul,2
Abdulaziz,1
Abdulbaki,1
Abdulfttah,1
Abdullah,7
Abdulqader,1
Abdumalik,1
Abdurrahman,2
AbdÃ¼ssamet,1
Abel,1
Abida,1
Abigail,1
Abojila,1
Abraham,1
Abu,1
Achale,1
Ada,3
Adam,17
Adda,1
Adel,1
Adele,2
Adelheid,1
Adelina,2
Adelle,1
Adiel,1
Adis,1
Adnan,2
Adonay,1
Adrian,23
Adriana,2
Adriane,1
Adriano,3
Ageliki,1
Agnes,3
Ahlaam,1
Ahmad,3
Ahmed,10
Ahmet,2
Ahmet-ArbÃ«r,1
Aidan,1
Aileen,2
AimÃ©e,2
Aishah,1
Aisharadhiya,1
Aivi,1
Aiza,2
Ajana,1
Ajlina,1
Akadia,1
Akdes,1
Akio,1
Alaa,2
Alain,1
Alan,6
Alanna,1
Alarik,1
Alba,2
Albara,1
Albert,1
Albin,2
Alejandro,5
Aleksandar,1
Aleksander,1
Aleksandra,2
Aleksandrova,1
Alem,1
Alessandro,7
Alessia,2
Alessio,2
Alexa,4
Alexander,84
Alexander-Josef,1
Alexander-Saladin,1
Alexandra,11
Alexandre,1
Alexandros,2
Alexeevna,1
Alexia,2
Alexis,1
Aleyna,1
Alfarouk,1
Alfons,1
Alfred,6
Ali,13
Alice,2
Alicia,5
Alicja,1
Alik,1
Aliki,1
Alina,16
Alisa,2
Alisha,3
Alissa,2
Alix,1
Aliya,1
Aliyah,2
Aliza,1
Alla,1
Allah,1
Allan,1
Allin,1
Alma,6
Almar,1
Almila,1
Almurtada,1
Almut,2
Alois,1
Aloisius,1
Alpha-Amadou,1
Althea,1
Alush,1
Alva,2
Alvara,1
Alya,1
Alyn,1
Alzain,1
Amaana,1
Amadeusz,1
Amal,1
Amalia,8
Amalie,1
Amanda,1
Amando,1
Amar,2
Amarantha,1
Amaria,1
Amela,1
Ameli,1
Amelia,7
Amelie,33
Amer,1
Amila,2
Amilia,3
Amilija,1
Amin,5
Amina,5
Amir,6
